category_id,category_name
181,Hopman Cup
3,ATP
72,Challenger
6,WTA
76,Davis Cup
74,Federation Cup
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
72,Challenger
72,Challenger
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
3,ATP
3,ATP
6,WTA
6,WTA
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
6,WTA
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
6,WTA
6,WTA
3,ATP
3,ATP
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
3,ATP
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
72,Challenger
3,ATP
3,ATP
72,Challenger
72,Challenger
72,Challenger
72,Challenger
785,ITF Men
785,ITF Men
72,Challenger
72,Challenger
6,WTA
6,WTA
72,Challenger
72,Challenger
6,WTA
6,WTA
72,Challenger
72,Challenger
72,Challenger
72,Challenger
3,ATP
3,ATP
785,ITF Men
785,ITF Men
213,ITF Women
213,ITF Women
6,WTA
6,WTA
72,Challenger
72,Challenger
6,WTA
