id,name,type,gender,category_id,parent_id
620,Hopman Cup,mixed,mixed,181,
660,World Team Cup,mixed,men,3,
990,ATP Challenger Tour Finals,singles,men,72,6239
1207,Championship International Series,singles,women,6,
2100,Davis Cup,mixed,men,76,
2102,Billie Jean King Cup,mixed,women,74,
2555,Wimbledon Men Singles,singles,men,3,2553
2557,Wimbledon Men Doubles,doubles,men,3,2553
2559,Wimbledon Women Singles,singles,women,6,2553
2561,Wimbledon Women Doubles,doubles,women,6,2553
2563,Wimbledon Mixed Doubles,mixed_doubles,mixed,3,2553
2567,Australian Open Men Singles,singles,men,3,2565
2569,Australian Open Men Doubles,doubles,men,3,2565
2571,Australian Open Women Singles,singles,women,6,2565
2573,Australian Open Women Doubles,doubles,women,6,2565
2575,Australian Open Mixed Doubles,mixed_doubles,mixed,3,2565
2579,French Open Men Singles,singles,men,3,2577
2581,French Open Men Doubles,doubles,men,3,2577
2583,French Open Women Singles,singles,women,6,2577
2585,French Open Women Doubles,doubles,women,6,2577
2587,French Open Mixed Doubles,mixed_doubles,mixed,3,2577
2591,US Open Men Singles,singles,men,3,2589
2593,US Open Men Doubles,doubles,men,3,2589
2595,US Open Women Singles,singles,women,6,2589
2597,US Open Women Doubles,doubles,women,6,2589
2599,US Open Mixed Doubles,mixed_doubles,mixed,3,2589
2603,"ATP Doha, Qatar Men Singles",singles,men,3,2601
2605,"ATP Doha, Qatar Men Doubles",doubles,men,3,2601
2613,"ATP Basel, Switzerland Men Singles",singles,men,3,2611
2615,"ATP Basel, Switzerland Men Doubles",doubles,men,3,2611
2619,"ATP Brisbane, Australia Men Singles",singles,men,3,2617
2621,"ATP Brisbane, Australia Men Doubles",doubles,men,3,2617
2625,"ATP Chennai, India Men Singles",singles,men,3,2623
2627,"ATP Chennai, India Men Doubles",doubles,men,3,2623
2631,"ATP Auckland, New Zealand Men Singles",singles,men,3,2629
2633,"ATP Auckland, New Zealand Men Doubles",doubles,men,3,2629
2637,"ATP Sydney, Australia Men Singles",singles,men,3,2635
2639,"ATP Sydney, Australia Men Doubles",doubles,men,3,2635
2649,"ATP Zagreb, Croatia Men Singles",singles,men,3,2647
2651,"ATP Zagreb, Croatia Men Double",doubles,men,3,2647
2661,"ATP Paris, France Men Singles",singles,men,3,2659
2663,"ATP Paris, France Men Doubles",doubles,men,3,2659
